АдресПолучателя;ГородПолучателя;ДатаИсполнения;ДатаНазначения;ДатаРазмещения;Доставка;ИндексПолучателя;КодЗаказа;КодКлиента;КодСотрудника;НазваниеПолучателя;ОбластьПолучателя;СтоимостьДоставки;СтранаПолучателя
Geislweg 14;Зальцбург;29.04.98 08:00;25.05.98 08:00;27.04.98 08:00;2;5020;11053;PICCO;2;Piccolo und mehr;;53,05;Австрия
Cerrito 333;Буэнос-Айрес;;26.05.98 08:00;28.04.98 08:00;1;1010;11054;CACTU;8;Cactus Comidas para llevar;;0,33;Аргентина
Carrera 22 con Ave. Carlos Soublette #8-35;Сан-Кристобаль;05.05.98 08:00;26.05.98 08:00;28.04.98 08:00;2;5022;11055;HILAA;7;HILARION-Abastos;Tochira;120,92;Венесуэлла
35 King George;Лондон;01.05.98 08:00;12.05.98 08:00;28.04.98 08:00;2;WX3 6FW;11056;EASTC;8;Eastern Connection;;278,96;Великобритания
"South House
300 Queensbridge";Лондон;01.05.98 08:00;27.05.98 08:00;29.04.98 08:00;3;SW7 1RZ;11057;NORTS;3;North/South;;4,13;Великобритания
Forsterstr. 57;Мангейм;;27.05.98 08:00;29.04.98 08:00;3;68306;11058;BLAUS;9;Blauer See Delikatessen;;31,14;Германия
Av. Copacabana, 267;Рио-де-Жанейро;;10.06.98 08:00;29.04.98 08:00;2;02389-890;11059;RICAR;2;Ricardo Adocicados;RJ;85,8;Бразилия
Via Monte Bianco 34;Турин;04.05.98 08:00;28.05.98 08:00;30.04.98 08:00;2;10100;11060;FRANS;2;Franchi S.p.A.;;10,98;Италия
2732 Baker Blvd.;Юджин;;11.06.98 08:00;30.04.98 08:00;3;97403;11061;GREAL;4;Great Lakes Food Market;OR;14,01;США
Strada Provinciale 124;Реджио-Эмилио;;28.05.98 08:00;30.04.98 08:00;2;42100;11062;REGGC;4;Reggiani Caseifici;;29,93;Италия
8 Johnstown Road;Корк;06.05.98 08:00;28.05.98 08:00;30.04.98 08:00;2;;11063;HUNGO;3;Hungry Owl All-Night Grocers;Co. Cork;81,73;Ирландия
187 Suffolk Ln.;Буа;04.05.98 08:00;29.05.98 08:00;01.05.98 08:00;1;83720;11064;SAVEA;1;Save-a-lot Markets;ID;30,09;США
Carrera 52 con Ave. Bolivar #65-98 Llano Largo;Баркисимето;;29.05.98 08:00;01.05.98 08:00;1;3508;11065;LILAS;8;LILA-Supermercado;Lara;12,91;Венесуэлла
1029 - 12th Ave. S.;Сиэтл;04.05.98 08:00;29.05.98 08:00;01.05.98 08:00;2;98124;11066;WHITC;7;White Clover Markets;WA;44,72;США
Walserweg 21;Ахен;06.05.98 08:00;18.05.98 08:00;04.05.98 08:00;2;52066;11067;DRACD;1;Drachenblut Delikatessen;;7,98;Германия
Alameda dos Canarios, 891;Сан-Пауло;;01.06.98 08:00;04.05.98 08:00;2;05487-020;11068;QUEEN;8;Queen Cozinha;SP;81,75;Бразилия
Avda. Azteca 123;Мехико;06.05.98 08:00;01.06.98 08:00;04.05.98 08:00;2;05033;11069;TORTU;1;Tortuga Restaurante;;15,67;Мексика
Magazinweg 7;Франкфурт;;02.06.98 08:00;05.05.98 08:00;1;60528;11070;LEHMS;2;Lehmanns Marktstand;;136;Германия
Carrera 52 con Ave. Bolivar #65-98 Llano Largo;Баркисимето;;02.06.98 08:00;05.05.98 08:00;1;3508;11071;LILAS;1;LILA-Supermercado;Lara;0,93;Венесуэлла
Kirchgasse 6;Грасс;;02.06.98 08:00;05.05.98 08:00;2;8010;11072;ERNSH;4;Ernst Handel;;258,64;Австрия
Calle Dr. Jorge Cash 321;Мехико;;02.06.98 08:00;05.05.98 08:00;2;05033;11073;PERIC;2;Pericles Comidas clasicas;;24,95;Мексика
Vinbaeltet 34;Копенгаген;;03.06.98 08:00;06.05.98 08:00;2;1734;11074;SIMOB;7;Simons bistro;;18,44;Дания
Starenweg 5;Женева;;03.06.98 08:00;06.05.98 08:00;2;1204;11075;RICSU;8;Richter Supermarkt;;6,19;Швейцария
12, rue des Bouchers;Марсель;;03.06.98 08:00;06.05.98 08:00;2;13008;11076;BONAP;4;Bon app';;38,28;Франция
2817 Milton Dr.;Альбукерке;;03.06.98 08:00;06.05.98 08:00;2;87110;11077;RATTC;1;Rattlesnake Canyon Grocery;NM;8,53;США
